Rank,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Long,TDs,20+,40+,1st,1st%,Fumbles
72,Calvin Ridley,ATL,WR,11,210,19.1,70.0,75T,4,3,1,10,90.9,0
72,Mike Williams,LAC,WR,11,189,17.2,63.0,42T,3,4,1,10,90.9,0
72,T.J. Yeldon,JAX,RB,11,77,7.0,25.7,13,1,0,0,4,36.4,0
83,Giovani Bernard,CIN,RB,10,51,5.1,17.0,11,0,0,0,0,0.0,0
83,Evan Engram,NYG,TE,10,104,10.4,34.7,19,1,0,0,4,40.0,0
83,Jordan Howard,CHI,RB,10,78,7.8,26.0,18,0,0,0,3,30.0,0
83,Kerryon Johnson,DET,RB,10,52,5.2,17.3,9,0,0,0,2,20.0,0
83,David Johnson,ARI,RB,10,63,6.3,21.0,21T,1,1,0,3,30.0,0
83,Mohamed Sanu,ATL,WR,10,73,7.3,24.3,13,1,0,0,5,50.0,0
89,Trey Burton,CHI,TE,9,90,10.0,30.0,25,1,1,0,6,66.7,0
89,Dalvin Cook,MIN,RB,9,107,11.9,53.5,24,0,2,0,5,55.6,0
89,Jamison Crowder,WAS,WR,9,79,8.8,26.3,18,1,0,0,4,44.4,0
89,Jack Doyle,IND,TE,9,80,8.9,40.0,13,0,0,0,3,33.3,1
89,Kenyan Drake,MIA,RB,9,42,4.7,14.0,10,0,0,0,2,22.2,0
89,Chase Edmonds,ARI,RB,9,39,4.3,13.0,8,0,0,0,1,11.1,0
89,Jakeem Grant,MIA,WR,9,135,15.0,45.0,52T,2,1,1,6,66.7,0
89,Rashard Higgins,CLE,WR,9,117,13.0,39.0,38,0,2,0,5,55.6,1
89,Jesse James,PIT,TE,9,205,22.8,68.3,46,1,5,1,8,88.9,0
89,Dion Lewis,TEN,RB,9,50,5.6,16.7,13,0,0,0,2,22.2,0
89,Brandon Marshall,SEA,WR,9,120,13.3,40.0,27,1,2,0,6,66.7,0
89,Ty Montgomery,GB,RB,9,79,8.8,26.3,16,0,0,0,2,22.2,0
89,David Njoku,CLE,TE,9,69,7.7,23.0,19,0,0,0,2,22.2,0
89,Paul Richardson,WAS,WR,9,131,14.6,43.7,46T,1,2,1,5,55.6,0
89,Austin Seferian-Jenkins,JAX,TE,9,66,7.3,22.0,13,1,0,0,5,55.6,0
89,Kenny Stills,MIA,WR,9,184,20.4,61.3,75T,3,3,1,7,77.8,0
89,Deonte Thompson,DAL,WR,9,83,9.2,27.7,13,0,0,0,5,55.6,0
89,Jarius Wright,CAR,WR,9,92,10.2,30.7,22,1,1,0,8,88.9,1
107,Mark Andrews,BAL,TE,8,107,13.4,35.7,30,1,2,0,7,87.5,0
107,Jake Butt,DEN,TE,8,85,10.6,28.3,22,0,2,0,4,50.0,0
107,Corey Clement,PHI,RB,8,74,9.3,24.7,19,0,0,0,3,37.5,0
107,Bruce Ellington,HOU,WR,8,92,11.5,30.7,23,1,1,0,5,62.5,0
107,Dallas Goedert,PHI,TE,8,77,9.6,25.7,19,1,0,0,3,37.5,0
107,Anthony Miller,CHI,WR,8,60,7.5,20.0,15,1,0,0,4,50.0,0
107,Lamar Miller,HOU,RB,8,54,6.8,18.0,16,1,0,0,2,25.0,1
107,Terrelle Pryor,NYJ,WR,8,158,19.8,52.7,44,0,3,1,7,87.5,0
107,Chester Rogers,IND,WR,8,49,6.1,16.3,8,0,0,0,4,50.0,0
107,Ricky Seals-Jones,ARI,TE,8,71,8.9,23.7,35T,1,1,0,3,37.5,0
107,Geoff Swaim,DAL,TE,8,65,8.1,21.7,20,0,1,0,3,37.5,0
107,Laquon Treadwell,MIN,WR,8,74,9.3,24.7,16,1,0,0,5,62.5,0
107,Nick Vannett,SEA,TE,8,61,7.6,20.3,12,0,0,0,4,50.0,0
107,Albert Wilson,MIA,WR,8,142,17.8,47.3,74T,2,3,1,4,50.0,0
121,Devontae Booker,DEN,RB,7,45,6.4,15.0,9,0,0,0,2,28.6,0
121,Matt Breida,SF,RB,7,53,7.6,17.7,13,0,0,0,3,42.9,0
121,Antonio Callaway,CLE,WR,7,101,14.4,33.7,47T,1,1,1,4,57.1,0
121,Tarik Cohen,CHI,RB,7,48,6.9,16.0,17,0,0,0,2,28.6,0
121,Tevin Coleman,ATL,RB,7,58,8.3,19.3,26,1,1,0,2,28.6,0
121,Alex Collins,BAL,RB,7,67,9.6,22.3,24,0,2,0,2,28.6,0
121,Will Dissly,SEA,TE,7,151,21.6,50.3,66,2,3,1,5,71.4,0
121,Pierre Garcon,SF,WR,7,89,12.7,29.7,20,0,1,0,6,85.7,0
121,Corey Grant,JAX,RB,7,55,7.9,18.3,16,0,0,0,5,71.4,0
121,Chris Hogan,NE,WR,7,84,12.0,28.0,29T,2,1,0,5,71.4,0
121,Adam Humphries,TB,WR,7,65,9.3,21.7,20,0,1,0,3,42.9,0
121,Marshawn Lynch,OAK,RB,7,33,4.7,11.0,14,0,0,0,3,42.9,0
121,Vance McDonald,PIT,TE,7,138,19.7,69.0,75T,1,1,1,6,85.7,0
121,Donte Moncrief,JAX,WR,7,64,9.1,21.3,14,1,0,0,4,57.1,1
121,Torrey Smith,CAR,WR,7,67,9.6,22.3,26,1,1,0,5,71.4,0
121,Taywan Taylor,TEN,WR,7,62,8.9,20.7,18T,1,0,0,3,42.9,0
121,Trent Taylor,SF,WR,7,52,7.4,17.3,10,0,0,0,1,14.3,0
121,Ian Thomas,CAR,TE,7,34,4.9,11.3,18,0,0,0,2,28.6,0
121,Jordan Wilkins,IND,RB,7,25,3.6,8.3,8,0,0,0,0,0.0,0
121,Maxx Williams,BAL,TE,7,68,9.7,22.7,25,0,2,0,3,42.9,0
121,Tyrell Williams,LAC,WR,7,78,11.1,26.0,22,1,1,0,5,71.4,1
142,Robby Anderson,NYJ,WR,6,90,15.0,30.0,41T,1,1,1,2,33.3,2
142,Kelvin Benjamin,BUF,WR,6,58,9.7,19.3,16,1,0,0,3,50.0,0
142,Nick Boyle,BAL,TE,6,68,11.3,22.7,25,0,1,0,3,50.0,0
142,Jaron Brown,SEA,WR,6,68,11.3,22.7,19,1,0,0,3,50.0,0
142,Martavis Bryant,OAK,WR,6,60,10.0,30.0,19,0,0,0,3,50.0,0
142,Rhett Ellison,NYG,TE,6,60,10.0,20.0,17,1,0,0,2,33.3,0
142,Virgil Green,LAC,TE,6,82,13.7,27.3,25,0,2,0,4,66.7,0
142,Zay Jones,BUF,WR,6,106,17.7,35.3,57,0,1,1,3,50.0,0
142,Kyle Juszczyk,SF,RB,6,107,17.8,35.7,56,1,2,1,3,50.0,0
142,Joe Mixon,CIN,RB,6,57,9.5,28.5,21,0,1,0,2,33.3,0
142,Bilal Powell,NYJ,RB,6,79,13.2,26.3,28T,1,2,0,3,50.0,0
142,Jacquizz Rodgers,TB,RB,6,43,7.2,14.3,13,0,0,0,1,16.7,0
142,C.J. Uzomah,CIN,TE,6,68,11.3,22.7,29,1,1,0,4,66.7,0
155,Kamar Aiken,PHI,WR,5,39,7.8,19.5,18,0,0,0,1,20.0,0
155,Jordan Akins,HOU,TE,5,50,10.0,16.7,18,0,0,0,2,40.0,0
155,Tavon Austin,DAL,WR,5,81,16.2,27.0,64T,2,1,1,3,60.0,0
155,Chris Carson,SEA,RB,5,50,10.0,16.7,19,0,0,0,2,40.0,0
155,Chris Conley,KC,WR,5,45,9.0,15.0,15T,2,0,0,3,60.0,1
155,Jason Croom,BUF,TE,5,51,10.2,17.0,26T,1,1,0,3,60.0,0
155,Josh Doctson,WAS,WR,5,48,9.6,16.0,14,0,0,0,5,100.0,0
155,Antonio Gates,LAC,TE,5,61,12.2,20.3,27,0,1,0,4,80.0,0
155,C.J. Ham,MIN,FB,5,47,9.4,15.7,17,0,0,0,3,60.0,0
155,Jeff Heuerman,DEN,TE,5,32,6.4,10.7,15,0,0,0,2,40.0,0
155,Duke Johnson,CLE,RB,5,39,7.8,13.0,15,0,0,0,3,60.0,1
155,LeSean McCoy,BUF,RB,5,28,5.6,14.0,9,0,0,0,0,0.0,0
155,Latavius Murray,MIN,RB,5,30,6.0,10.0,12,0,0,0,2,40.0,0
155,Cordarrelle Patterson,NE,WR,5,36,7.2,12.0,18,0,0,0,2,40.0,0
155,Josh Perkins,PHI,TE,5,67,13.4,22.3,30,0,1,0,4,80.0,0
155,Adrian Peterson,WAS,RB,5,100,20.0,33.3,52,0,2,1,2,40.0,1
155,John Ross,CIN,WR,5,27,5.4,9.0,9,1,0,0,2,40.0,0
155,Luke Stocker,TEN,TE,5,63,12.6,21.0,31,0,1,0,3,60.0,0
155,Courtland Sutton,DEN,WR,5,91,18.2,30.3,25,0,3,0,4,80.0,0
155,Jamaal Williams,GB,RB,5,28,5.6,9.3,11,0,0,0,1,20.0,0
175,Charles Clay,BUF,TE,4,47,11.8,15.7,21,0,1,0,2,50.0,0
175,Isaiah Crowell,NYJ,RB,4,21,5.3,7.0,10,0,0,0,2,50.0,0
175,Vernon Davis,WAS,TE,4,86,21.5,28.7,50,0,2,1,4,100.0,0
175,James Develin,NE,FB,4,22,5.5,7.3,10,0,0,0,1,25.0,0
175,Mike Gesicki,MIA,TE,4,42,10.5,14.0,19,0,0,0,2,50.0,0
175,Chris Herndon,NYJ,TE,4,29,7.3,9.7,17,0,0,0,2,50.0,1
175,Andre Holmes,BUF,WR,4,43,10.8,14.3,22,0,1,0,2,50.0,0
175,Allen Hurns,DAL,WR,4,51,12.8,17.0,20,0,1,0,2,50.0,0
175,Carlos Hyde,CLE,RB,4,15,3.8,5.0,7,0,0,0,0,0.0,0
175,Chris Ivory,BUF,RB,4,100,25.0,33.3,55,0,2,1,3,75.0,0
175,Jermaine Kearse,NYJ,WR,4,34,8.5,17.0,14,0,0,0,2,50.0,0
175,Tyler Kroft,CIN,TE,4,36,9.0,12.0,16,0,0,0,4,100.0,0
175,Rashaad Penny,SEA,RB,4,35,8.8,11.7,15,0,0,0,1,25.0,0
175,Seth Roberts,OAK,WR,4,54,13.5,27.0,20T,1,1,0,4,100.0,0
175,Wendell Smallwood,PHI,RB,4,37,9.3,12.3,34,0,1,0,1,25.0,1
175,Ito Smith,ATL,RB,4,49,12.3,16.3,18,0,0,0,3,75.0,0
175,Darren Sproles,PHI,RB,4,22,5.5,22.0,9,0,0,0,1,25.0,0
175,Ryan Switzer,PIT,WR,4,23,5.8,7.7,14,1,0,0,2,50.0,0
175,Delanie Walker,TEN,TE,4,52,13.0,52.0,16,0,0,0,4,100.0,0
194,LeGarrette Blount,DET,RB,3,14,4.7,4.7,9,0,0,0,1,33.3,0
194,Cameron Brate,TB,TE,3,34,11.3,11.3,21,1,1,0,3,100.0,0
194,Rex Burkhead,NE,RB,3,31,10.3,10.3,19,0,0,0,1,33.3,0
194,Austin Carr,NO,WR,3,45,15.0,15.0,25,0,1,0,1,33.3,0
194,Derek Carrier,OAK,TE,3,25,8.3,8.3,12,0,0,0,0,0.0,0
194,Garrett Celek,SF,TE,3,29,9.7,9.7,11T,1,0,0,3,100.0,0
194,Darren Fells,CLE,TE,3,27,9.0,9.0,12,0,0,0,1,33.3,0
194,Leonard Fournette,JAX,RB,3,14,4.7,14.0,11,0,0,0,2,66.7,0
194,Devonta Freeman,ATL,RB,3,14,4.7,14.0,14,0,0,0,0,0.0,0
194,Wayne Gallman,NYG,RB,3,20,6.7,6.7,11,0,0,0,0,0.0,0
194,Michael Gallup,DAL,WR,3,31,10.3,10.3,17,0,0,0,1,33.3,0
194,Marquise Goodwin,SF,WR,3,30,10.0,15.0,13,1,0,0,3,100.0,0
194,Ryan Griffin,HOU,TE,3,63,21.0,21.0,32,0,1,0,2,66.7,0
194,Tyler Higbee,LA,TE,3,38,12.7,12.7,20,1,1,0,3,100.0,0
194,Josh Hill,NO,TE,3,37,12.3,12.3,17,0,0,0,2,66.7,0
194,Jacob Hollister,NE,TE,3,35,11.7,35.0,23,0,1,0,1,33.3,0
194,Cody Latimer,NYG,WR,3,56,18.7,18.7,37,0,1,0,2,66.7,0
194,Phillip Lindsay,DEN,RB,3,35,11.7,11.7,29T,1,1,0,1,33.3,0
194,Zach Line,NO,RB,3,10,3.3,3.3,5,1,0,0,1,33.3,0
194,Doug Martin,OAK,RB,3,-3,-1.0,-1.0,0,0,0,0,0,0.0,0
194,Rishard Matthews,TEN,WR,3,11,3.7,3.7,4,0,0,0,0,0.0,0
194,Chris Moore,BAL,WR,3,14,4.7,4.7,5,0,0,0,0,0.0,0
194,David Morgan,MIN,TE,3,28,9.3,14.0,13,0,0,0,2,66.7,0
194,Dante Pettis,SF,WR,3,96,32.0,32.0,39,1,3,0,3,100.0,0
194,C.J. Prosise,SEA,RB,3,22,7.3,11.0,8,0,0,0,0,0.0,0
194,Keith Smith,OAK,RB,3,14,4.7,4.7,7,0,0,0,2,66.7,0
194,Neal Sterling,NYJ,TE,3,27,9.0,13.5,12,0,0,0,1,33.3,0
194,Jordan Thomas,HOU,TE,3,80,26.7,26.7,39,0,2,0,3,100.0,0
194,Eric Tomlinson,NYJ,TE,3,45,15.0,15.0,24,0,1,0,2,66.7,0
194,Spencer Ware,KC,RB,3,37,12.3,12.3,15,0,0,0,1,33.3,0
194,James Washington,PIT,WR,3,39,13.0,13.0,14T,1,0,0,3,100.0,0
194,Damien Williams,KC,RB,3,18,6.0,6.0,9,0,0,0,1,33.3,0
194,Luke Willson,DET,TE,3,23,7.7,7.7,13,0,0,0,2,66.7,0
227,Josh Bellamy,CHI,WR,2,8,4.0,2.7,6,0,0,0,1,50.0,0
227,Kendrick Bourne,SF,WR,2,31,15.5,10.3,27,1,1,0,2,100.0,0
227,Malcolm Brown,LA,RB,2,18,9.0,6.0,9,0,0,0,1,50.0,0
227,Tyler Conklin,MIN,TE,2,13,6.5,4.3,7,0,0,0,1,50.0,0
227,Mike Davis,SEA,RB,2,6,3.0,3.0,7,0,0,0,1,50.0,0
227,A.J. Derby,MIA,TE,2,35,17.5,11.7,19T,1,0,0,2,100.0,0
227,Gerald Everett,LA,TE,2,20,10.0,6.7,17,0,0,0,0,0.0,0
227,Robert Foster,BUF,WR,2,30,15.0,10.0,19,0,0,0,2,100.0,0
227,Marvin Hall,ATL,WR,2,37,18.5,12.3,30,0,1,0,1,50.0,0
227,Dwayne Harris,OAK,WR,2,11,5.5,5.5,7,0,0,0,0,0.0,0
227,T.J. Jones,DET,WR,2,10,5.0,3.3,6,0,0,0,1,50.0,0
227,Lance Kendricks,GB,TE,2,17,8.5,5.7,13,0,0,0,1,50.0,0
227,Jeremy Kerley,BUF,WR,2,7,3.5,7.0,4,0,0,0,0,0.0,0
227,Jordan Matthews,PHI,WR,2,21,10.5,21.0,14,0,0,0,0,0.0,0
227,Sony Michel,NE,RB,2,6,3.0,3.0,7,0,0,0,0,0.0,0
227,DJ Moore,CAR,WR,2,54,27.0,18.0,51T,1,1,1,1,50.0,0
227,Alfred Morris,SF,RB,2,32,16.0,10.7,16,0,0,0,2,100.0,0
227,Marcus Murphy,BUF,RB,2,8,4.0,2.7,7,0,0,0,0,0.0,0
227,Greg Olsen,CAR,TE,2,33,16.5,33.0,19,0,0,0,1,50.0,0
227,DeVante Parker,MIA,WR,2,40,20.0,40.0,36,0,1,0,1,50.0,0
227,Zach Pascal,IND,WR,2,21,10.5,7.0,18,0,0,0,1,50.0,0
227,Logan Paulsen,ATL,TE,2,21,10.5,7.0,11,0,0,0,2,100.0,0
227,Tajae Sharpe,TEN,WR,2,31,15.5,10.3,17,0,0,0,2,100.0,0
227,Anthony Sherman,KC,RB,2,52,26.0,17.3,36T,1,1,0,2,100.0,0
227,Dion Sims,CHI,TE,2,9,4.5,3.0,9,0,0,0,0,0.0,0
227,Jonnu Smith,TEN,TE,2,21,10.5,7.0,12,0,0,0,2,100.0,0
227,Erik Swoope,IND,TE,2,20,10.0,10.0,13,0,0,0,1,50.0,0
227,Logan Thomas,BUF,TE,2,31,15.5,15.5,24,0,1,0,2,100.0,0
227,Terrance Williams,DAL,WR,2,18,9.0,6.0,12,0,0,0,1,50.0,0
227,Shaun Wilson,TB,RB,2,9,4.5,3.0,5,0,0,0,0,0.0,0
257,Jay Ajayi,PHI,RB,1,4,4.0,2.0,4,0,0,0,0,0.0,0
257,C.J. Anderson,CAR,RB,1,24,24.0,8.0,24T,1,1,0,1,100.0,0
257,Peyton Barber,TB,RB,1,7,7.0,2.3,7,0,0,0,1,100.0,0
257,Nick Bellore,DET,FB,1,-5,-5.0,-1.7,-5,0,0,0,0,0.0,0
257,Travis Benjamin,LAC,WR,1,1,1.0,1.0,1,0,0,0,0,0.0,0
257,Alfred Blue,HOU,RB,1,4,4.0,1.3,4,0,0,0,0,0.0,0
257,Tommy Bohanon,JAX,RB,1,5,5.0,1.7,5,0,0,0,0,0.0,0
257,Mike Boone,MIN,RB,1,0,0.0,0.0,0,0,0,0,0,0.0,0
257,Michael Burton,CHI,FB,1,6,6.0,3.0,6,0,0,0,1,100.0,0
257,Trenton Cannon,NYJ,RB,1,6,6.0,2.0,6,0,0,0,1,100.0,0
257,DeAndre Carter,PHI,WR,1,10,10.0,5.0,10,0,0,0,1,100.0,0
257,D.J. Chark,JAX,WR,1,13,13.0,4.3,13,0,0,0,0,0.0,1
257,Derrick Coleman,ARI,RB,1,12,12.0,4.0,12,0,0,0,1,100.0,0
257,Dane Cruikshank,TEN,DB,1,66,66.0,22.0,66T,1,1,1,1,100.0,0
257,Benny Cunningham,CHI,RB,1,9,9.0,3.0,9,0,0,0,1,100.0,0
257,Patrick DiMarco,BUF,RB,1,24,24.0,8.0,24,0,1,0,1,100.0,0
257,Tyler Ervin,HOU,RB,1,12,12.0,4.0,12,0,0,0,0,0.0,0
257,Nick Foles,PHI,QB,1,10,10.0,5.0,15,0,0,0,1,100.0,0
257,Royce Freeman,DEN,RB,1,5,5.0,1.7,5,0,0,0,1,100.0,0
257,Frank Gore,MIA,RB,1,19,19.0,6.3,19,0,0,0,1,100.0,0
257,Jermaine Gresham,ARI,TE,1,9,9.0,9.0,9,0,0,0,1,100.0,0
257,Demetrius Harris,KC,TE,1,13,13.0,6.5,13T,1,0,0,1,100.0,0
257,Derrick Henry,TEN,RB,1,5,5.0,1.7,5,0,0,0,0,0.0,0
257,Jeremy Hill,NE,RB,1,6,6.0,6.0,6,0,0,0,0,0.0,0
257,Kareem Hunt,KC,RB,1,5,5.0,1.7,5T,1,0,0,1,100.0,0
257,Justin Hunter,PIT,WR,1,6,6.0,6.0,6,0,0,0,1,100.0,0
257,Andy Janovich,DEN,FB,1,11,11.0,3.7,11,0,0,0,0,0.0,0
257,Darius Jennings,TEN,WR,1,7,7.0,2.3,7,0,0,0,0,0.0,0
257,Aaron Jones,GB,RB,1,5,5.0,5.0,5,0,0,0,0,0.0,0
257,Ryan Kelly,IND,C,1,-4,-4.0,-1.3,-4,0,0,0,0,0.0,0
257,Marcus Kemp,KC,WR,1,7,7.0,2.3,7,0,0,0,0,0.0,0
257,Marlon Mack,IND,RB,1,2,2.0,2.0,2,0,0,0,0,0.0,0
257,Tre Madden,SEA,FB,1,7,7.0,2.3,7,0,0,0,0,0.0,0
257,Josh Malone,CIN,WR,1,12,12.0,4.0,12,0,0,0,1,100.0,0
257,Ray-Ray McCloud,BUF,WR,1,6,6.0,6.0,6,0,0,0,0,0.0,0
257,Cameron Meredith,NO,WR,1,11,11.0,11.0,11T,1,0,0,1,100.0,0
257,Raheem Mostert,SF,RB,1,8,8.0,2.7,8,0,0,0,0,0.0,0
257,Roosevelt Nix,PIT,FB,1,19,19.0,6.3,19,0,0,0,1,100.0,0
257,James O'Shaughnessy,JAX,TE,1,17,17.0,5.7,17,0,0,0,1,100.0,0
257,Tim Patrick,DEN,WR,1,26,26.0,8.7,26,0,1,0,1,100.0,0
257,Niles Paul,JAX,TE,1,22,22.0,7.3,22,0,1,0,1,100.0,0
257,Stevan Ridley,PIT,RB,1,5,5.0,1.7,5,0,0,0,0,0.0,0
257,Michael Roberts,DET,TE,1,15,15.0,7.5,15T,1,0,0,1,100.0,0
257,Demarcus Robinson,KC,WR,1,3,3.0,1.0,3T,1,0,0,1,100.0,0
257,Aldrick Robinson,MIN,WR,1,9,9.0,9.0,9,0,0,0,0,0.0,0
257,Vyncint Smith,HOU,WR,1,28,28.0,9.3,28,0,1,0,1,100.0,0
257,Tre'Quan Smith,NO,WR,1,18,18.0,6.0,18,0,0,0,1,100.0,0
257,De'Anthony Thomas,KC,WR,1,1,1.0,0.3,1T,1,0,0,1,100.0,0
257,Levine Toilolo,DET,TE,1,7,7.0,2.3,7,0,0,0,1,100.0,0
