Rank,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Long,TDs,20+,40+,1st,1st%,Fumbles
1,Michael Thomas,NO,WR,38,398,10.5,132.7,35,3,5,0,19,50.0,2
2,Adam Thielen,MIN,WR,32,338,10.6,112.7,34,1,4,0,17,53.1,0
3,Alvin Kamara,NO,RB,30,289,9.6,96.3,35,1,3,0,12,40.0,0
4,JuJu Smith-Schuster,PIT,WR,27,356,13.2,118.7,67,1,4,2,19,70.4,0
5,Odell Beckham,NYG,WR,24,271,11.3,90.3,30,0,4,0,13,54.2,0
5,Antonio Brown,PIT,WR,24,210,8.8,70.0,27T,2,2,0,12,50.0,0
7,Mike Evans,TB,WR,23,367,16.0,122.3,51,3,6,2,17,73.9,1
8,Christian McCaffrey,CAR,RB,22,157,7.1,52.3,18,0,0,0,10,45.5,0
9,Saquon Barkley,NYG,RB,21,137,6.5,45.7,21,0,1,0,4,19.0,0
9,Zach Ertz,PHI,TE,21,215,10.2,71.7,34,0,2,0,8,38.1,0
11,Davante Adams,GB,WR,20,204,10.2,68.0,51,3,1,1,11,55.0,0
11,Nelson Agholor,PHI,WR,20,145,7.3,48.3,50,1,1,1,9,45.0,0
11,DeAndre Hopkins,HOU,WR,20,274,13.7,91.3,31,1,5,0,13,65.0,0
11,Julio Jones,ATL,WR,20,329,16.5,109.7,58,0,5,1,14,70.0,0
11,Jarvis Landry,CLE,WR,20,278,13.9,92.7,39,0,5,0,10,50.0,0
11,Golden Tate,DET,WR,20,257,12.9,85.7,67,1,4,1,11,55.0,0
11,Chris Thompson,WAS,RB,20,155,7.8,51.7,23,1,1,0,9,45.0,0
18,Brandin Cooks,LA,WR,19,336,17.7,112.0,57,0,7,1,15,78.9,0
18,Kenny Golladay,DET,WR,19,256,13.5,85.3,30T,2,4,0,15,78.9,0
18,Emmanuel Sanders,DEN,WR,19,269,14.2,89.7,43T,1,6,1,9,47.4,0
18,Robert Woods,LA,WR,19,222,11.7,74.0,22,2,5,0,13,68.4,0
22,Jared Cook,OAK,TE,18,260,14.4,86.7,45,0,6,1,12,66.7,0
23,Keenan Allen,LAC,WR,17,219,12.9,73.0,25,1,4,0,10,58.8,1
23,Randall Cobb,GB,WR,17,194,11.4,64.7,75T,1,2,1,9,52.9,1
23,Quincy Enunwa,NYJ,WR,17,212,12.5,70.7,21T,1,3,0,14,82.4,1
23,Melvin Gordon,LAC,RB,17,144,8.5,48.0,25,2,2,0,9,52.9,0
23,T.Y. Hilton,IND,WR,17,179,10.5,59.7,29,2,2,0,9,52.9,0
23,Theo Riddick,DET,RB,17,98,5.8,32.7,20,0,1,0,4,23.5,0
23,Allen Robinson,CHI,WR,17,194,11.4,64.7,39,0,2,0,11,64.7,0
30,Stefon Diggs,MIN,WR,16,188,11.8,62.7,75T,3,2,1,7,43.8,0
30,A.J. Green,CIN,WR,16,219,13.7,73.0,38T,4,3,0,13,81.3,2
30,Travis Kelce,KC,TE,16,229,14.3,76.3,31,2,4,0,10,62.5,0
30,Demaryius Thomas,DEN,WR,16,144,9.0,48.0,23,1,2,0,8,50.0,0
34,Tyler Boyd,CIN,WR,15,249,16.6,83.0,49,2,6,1,9,60.0,0
34,Keelan Cole,JAX,WR,15,210,14.0,70.0,31,1,4,0,10,66.7,0
34,James Conner,PIT,RB,15,139,9.3,46.3,22,0,1,0,6,40.0,0
34,Michael Crabtree,BAL,WR,15,155,10.3,51.7,20,1,1,0,8,53.3,0
34,Taylor Gabriel,CHI,WR,15,89,5.9,29.7,31,0,1,0,1,6.7,0
34,Cooper Kupp,LA,WR,15,186,12.4,62.0,53T,2,2,1,8,53.3,0
34,Jalen Richard,OAK,RB,15,114,7.6,38.0,12,0,0,0,6,40.0,0
41,Devin Funchess,CAR,WR,14,185,13.2,61.7,27,1,3,0,11,78.6,0
41,Tyreek Hill,KC,WR,14,310,22.1,103.3,58T,3,8,2,12,85.7,0
41,Jordan Reed,WAS,TE,14,168,12.0,56.0,34,1,2,0,7,50.0,1
41,Sterling Shepard,NYG,WR,14,152,10.9,50.7,23,1,1,0,10,71.4,0
41,Sammy Watkins,KC,WR,14,176,12.6,58.7,40,1,2,1,9,64.3,0
41,James White,NE,RB,14,125,8.9,41.7,27,2,1,0,7,50.0,0
47,Javorius Allen,BAL,RB,13,70,5.4,23.3,16,1,0,0,6,46.2,0
47,Geronimo Allison,GB,WR,13,209,16.1,69.7,64T,2,3,1,7,53.8,0
47,Amari Cooper,OAK,WR,13,142,10.9,47.3,30,0,2,0,7,53.8,0
47,Corey Davis,TEN,WR,13,151,11.6,50.3,22,0,1,0,9,69.2,1
47,Will Fuller,HOU,WR,13,214,16.5,107.0,39T,2,4,0,11,84.6,0
47,Chris Godwin,TB,WR,13,171,13.2,57.0,20,3,1,0,11,84.6,2
47,Jimmy Graham,GB,TE,13,148,11.4,49.3,34,0,2,0,5,38.5,0
47,Ryan Grant,IND,WR,13,124,9.5,41.3,22,1,2,0,7,53.8,0
47,Rob Gronkowski,NE,TE,13,189,14.5,63.0,30,1,4,0,7,53.8,1
47,Nyheim Hines,IND,RB,13,56,4.3,18.7,17,0,0,0,6,46.2,0
47,Kyle Rudolph,MIN,TE,13,131,10.1,43.7,23,2,1,0,10,76.9,0
58,Cole Beasley,DAL,WR,12,132,11.0,44.0,18,0,0,0,9,75.0,0
58,John Brown,BAL,WR,12,222,18.5,74.0,45,2,4,2,8,66.7,0
58,Phillip Dorsett,NE,WR,12,110,9.2,36.7,19,1,0,0,8,66.7,0
58,Eric Ebron,IND,TE,12,110,9.2,36.7,26T,2,1,0,5,41.7,0
58,Larry Fitzgerald,ARI,WR,12,113,9.4,37.7,27,0,2,0,5,41.7,0
58,Ted Ginn,NO,WR,12,135,11.3,45.0,42,2,2,1,6,50.0,1
58,DeSean Jackson,TB,WR,12,312,26.0,104.0,75T,3,5,2,11,91.7,0
58,Marvin Jones,DET,WR,12,177,14.8,59.0,33T,2,2,0,10,83.3,0
58,Christian Kirk,ARI,WR,12,121,10.1,40.3,32,0,2,0,4,33.3,0
58,George Kittle,SF,TE,12,191,15.9,63.7,36,0,2,0,9,75.0,0
58,Tyler Lockett,SEA,WR,12,196,16.3,65.3,52T,3,3,2,8,66.7,1
58,Willie Snead,BAL,WR,12,142,11.8,47.3,20,1,1,0,9,75.0,0
58,Benjamin Watson,NO,TE,12,134,11.2,44.7,27,0,2,0,6,50.0,0
58,Dede Westbrook,JAX,WR,12,164,13.7,54.7,61T,1,2,1,8,66.7,1
72,Danny Amendola,MIA,WR,11,100,9.1,33.3,15,0,0,0,4,36.4,0
72,Tyler Eifert,CIN,TE,11,141,12.8,47.0,29,0,2,0,8,72.7,0
72,Austin Ekeler,LAC,RB,11,132,12.0,44.0,30,1,1,0,6,54.5,1
72,Ezekiel Elliott,DAL,RB,11,37,3.4,12.3,13,0,0,0,0,0.0,0
72,Todd Gurley,LA,RB,11,121,11.0,40.3,25,1,1,0,5,45.5,1
72,Austin Hooper,ATL,TE,11,106,9.6,35.3,30,1,1,0,3,27.3,0
72,O.J. Howard,TB,TE,11,222,20.2,74.0,75T,1,4,1,9,81.8,0
72,Jordy Nelson,OAK,WR,11,226,20.5,75.3,66,1,3,2,7,63.6,0
