Rank,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Long,TDs,20+,40+,1st,1st%,Fumbles
63,Austin Hooper,ATL,TE,8,83,10.4,41.5,30,1,1,0,3,37.5,0
63,Jordan Howard,CHI,RB,8,58,7.3,29.0,18,0,0,0,1,12.5,0
63,Jesse James,PIT,TE,8,198,24.8,99.0,46,1,5,1,8,100.0,0
63,Kerryon Johnson,DET,RB,8,43,5.4,21.5,9,0,0,0,0,0.0,0
63,Marvin Jones,DET,WR,8,108,13.5,54.0,28,1,1,0,7,87.5,0
63,Travis Kelce,KC,TE,8,115,14.4,57.5,31,2,2,0,5,62.5,0
63,Tyler Lockett,SEA,WR,8,119,14.9,59.5,51T,2,2,1,4,50.0,1
63,Terrelle Pryor,NYJ,WR,8,158,19.8,52.7,44,0,3,1,7,87.5,0
63,Paul Richardson,WAS,WR,8,85,10.6,42.5,34,0,1,0,4,50.0,0
63,Kyle Rudolph,MIN,TE,8,83,10.4,41.5,23,1,1,0,6,75.0,0
63,Sterling Shepard,NYG,WR,8,72,9.0,36.0,16,0,0,0,4,50.0,0
63,Jarius Wright,CAR,WR,8,85,10.6,42.5,22,1,1,0,7,87.5,1
83,John Brown,BAL,WR,7,136,19.4,68.0,45,2,3,1,5,71.4,0
83,Antonio Callaway,CLE,WR,7,101,14.4,33.7,47T,1,1,1,4,57.1,0
83,Kenyan Drake,MIA,RB,7,35,5.0,17.5,10,0,0,0,2,28.6,0
83,Eric Ebron,IND,TE,7,77,11.0,38.5,26T,2,1,0,4,57.1,0
83,Bruce Ellington,HOU,WR,7,82,11.7,41.0,23,1,1,0,4,57.1,0
83,Jakeem Grant,MIA,WR,7,65,9.3,32.5,16,0,0,0,4,57.1,0
83,George Kittle,SF,TE,7,112,16.0,56.0,36,0,1,0,5,71.4,0
83,Brandon Marshall,SEA,WR,7,90,12.9,45.0,20T,1,1,0,5,71.4,0
83,Ricky Seals-Jones,ARI,TE,7,36,5.1,18.0,8,0,0,0,2,28.6,0
83,Deonte Thompson,DAL,WR,7,60,8.6,30.0,13,0,0,0,4,57.1,0
83,Benjamin Watson,NO,TE,7,63,9.0,31.5,21,0,1,0,4,57.1,0
83,Mike Williams,LAC,WR,7,108,15.4,54.0,25,1,2,0,7,100.0,0
95,Robby Anderson,NYJ,WR,6,90,15.0,30.0,41T,1,1,1,2,33.3,2
95,Mark Andrews,BAL,TE,6,48,8.0,24.0,12,1,0,0,5,83.3,0
95,Jake Butt,DEN,TE,6,77,12.8,38.5,22,0,2,0,4,66.7,0
95,Will Dissly,SEA,TE,6,147,24.5,73.5,66,2,3,1,5,83.3,0
95,Pierre Garcon,SF,WR,6,78,13.0,39.0,20,0,1,0,5,83.3,0
95,Corey Grant,JAX,RB,6,56,9.3,28.0,16,0,0,0,5,83.3,0
