Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
63,TravisBenjamin,LAC,WR,1,1.0,19,19.0,19.0,0,19,1,100.0,0,0,0

63,TevinColeman,ATL,RB,9,9.0,19,2.1,19.0,1,9T,1,11.1,0,0,0

63,NyheimHines,IND,RB,5,5.0,19,3.8,19.0,0,6,2,40.0,0,0,0

63,DakPrescott,DAL,QB,5,5.0,19,3.8,19.0,0,9,1,20.0,0,0,0

67,JamesWhite,NE,RB,5,5.0,18,3.6,18.0,0,11,0,0.0,0,0,0

68,JavoriusAllen,BAL,RB,4,4.0,17,4.3,17.0,1,8,2,50.0,0,0,0

68,DukeJohnson,CLE,RB,5,5.0,17,3.4,17.0,0,13,1,20.0,0,0,0

68,KerryonJohnson,DET,RB,5,5.0,17,3.4,17.0,0,9,1,20.0,0,0,0

71,NelsonAgholor,PHI,WR,1,1.0,16,16.0,16.0,0,16,1,100.0,0,0,0

71,CooperKupp,LA,WR,2,2.0,16,8.0,16.0,0,12,2,100.0,0,0,0

71,BenRoethlisberger,PIT,QB,3,3.0,16,5.3,16.0,0,15,2,66.7,0,0,0

74,TrentonCannon,NYJ,RB,6,6.0,15,2.5,15.0,0,5,0,0.0,0,0,0

74,MarcusMariota,TEN,QB,3,3.0,15,5.0,15.0,0,7,2,66.7,0,0,0

74,AaronRodgers,GB,QB,1,1.0,15,15.0,15.0,0,15,0,0.0,0,0,0

77,AlexSmith,WAS,QB,8,8.0,14,1.8,14.0,0,7,2,25.0,0,0,1

78,AlexCollins,BAL,RB,7,7.0,13,1.9,13.0,1,8T,2,28.6,0,0,1

78,CordarrellePatterson,NE,WR,3,3.0,13,4.3,13.0,0,10,1,33.3,0,0,0

80,JulioJones,ATL,WR,1,1.0,11,11.0,11.0,0,11,1,100.0,0,0,0

81,DarrenSproles,PHI,RB,5,5.0,10,2.0,10.0,0,5,1,20.0,0,0,0

82,AmariCooper,OAK,WR,1,1.0,9,9.0,9.0,0,9,0,0.0,0,0,0

82,MikeGillislee,NO,RB,3,3.0,9,3.0,9.0,0,5,1,33.3,0,0,1

82,ChristineMichael,IND,RB,2,2.0,9,4.5,9.0,0,8,0,0.0,0,0,0

85,AndyDalton,CIN,QB,2,2.0,8,4.0,8.0,0,7,1,50.0,0,0,0

85,StefonDiggs,MIN,WR,1,1.0,8,8.0,8.0,0,8,0,0.0,0,0,0

85,RashaadPenny,SEA,RB,7,7.0,8,1.1,8.0,0,5,0,0.0,0,0,0

85,MattRyan,ATL,QB,2,2.0,8,4.0,8.0,0,6,1,50.0,0,0,0

85,JonathanStewart,NYG,RB,2,2.0,8,4.0,8.0,0,4,0,0.0,0,0,0

85,RyanSwitzer,PIT,WR,1,1.0,8,8.0,8.0,0,8,0,0.0,0,0,0

91,SamBradford,ARI,QB,2,2.0,7,3.5,7.0,0,8,1,50.0,0,0,0

91,RobKelley,WAS,RB,3,3.0,7,2.3,7.0,0,6,0,0.0,0,0,0

91,AndrewLuck,IND,QB,1,1.0,7,7.0,7.0,0,7,1,100.0,0,0,0

91,TyMontgomery,GB,RB,2,2.0,7,3.5,7.0,0,6,0,0.0,0,0,0

91,AlbertWilson,MIA,WR,2,2.0,7,3.5,7.0,0,5,1,50.0,0,0,0

96,BrandinCooks,LA,WR,1,1.0,6,6.0,6.0,0,6,0,0.0,0,0,0

96,JimmyGaroppolo,SF,QB,2,2.0,6,3.0,6.0,0,4,1,50.0,0,0,0

96,MatthewStafford,DET,QB,1,1.0,6,6.0,6.0,0,6,0,0.0,0,0,0

96,ShaunWilson,TB,RB,1,1.0,6,6.0,6.0,0,6,0,0.0,0,0,0

96,RobertWoods,LA,WR,1,1.0,6,6.0,6.0,0,6,0,0.0,0,0,0

101,MalcolmBrown,LA,RB,1,1.0,5,5.0,5.0,0,5,0,0.0,0,0,0

101,TedGinn,NO,WR,1,1.0,5,5.0,5.0,0,5,0,0.0,0,0,0

101,RodSmith,DAL,RB,1,1.0,5,5.0,5.0,0,5,0,0.0,0,0,0

101,RussellWilson,SEA,QB,2,2.0,5,2.5,5.0,0,5,0,0.0,0,0,1

105,DevontaeBooker,DEN,RB,2,2.0,4,2.0,4.0,0,2,0,0.0,0,0,0

105,TyreekHill,KC,WR,2,2.0,4,2.0,4.0,0,7,1,50.0,0,0,0

105,RyanTannehill,MIA,QB,4,4.0,4,1.0,4.0,0,4,0,0.0,0,0,0

108,JoeFlacco,BAL,QB,2,2.0,3,1.5,3.0,0,3,1,50.0,0,0,1

108,CoreyGrant,JAX,RB,1,1.0,3,3.0,3.0,0,3,0,0.0,0,0,0

