Rank,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Long,TDs,20+,40+,1st,1st%,Fumbles
337,Blake Jarwin,DAL,TE,0,0,--,0.0,--,0,0,0,0,--,0
337,Taiwan Jones,BUF,RB,0,0,--,0.0,--,0,0,0,0,--,0
337,Marcedes Lewis,GB,TE,0,0,--,0.0,--,0,0,0,0,--,0
337,Freddie Martino,TB,WR,0,0,--,0.0,--,0,0,0,0,--,0
337,Riley McCarron,NE,WR,0,0,--,0.0,--,0,0,0,0,--,0
337,Josh Reynolds,LA,WR,0,0,--,0.0,--,0,0,0,0,--,0
337,Eric Saubert,ATL,TE,0,0,--,0.0,--,0,0,0,0,--,0
337,Durham Smythe,MIA,TE,0,0,--,0.0,--,0,0,0,0,--,0
337,Roc Thomas,MIN,RB,0,0,--,0.0,--,0,0,0,0,--,0
337,Mike Wallace,PHI,WR,0,0,--,0.0,--,0,0,0,0,--,0
337,Javon Wims,CHI,WR,0,0,--,0.0,--,0,0,0,0,--,0
