Rank,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Long,TDs,20+,40+,1st,1st%,Fumbles
123,Nick Boyle,BAL,TE,9,104,11.6,26.0,25,0,1,0,4,44.4,0
123,Martavis Bryant,OAK,WR,9,111,12.3,37.0,28,0,2,0,5,55.6,0
123,Chris Conley,KC,WR,9,58,6.4,14.5,15T,2,0,0,4,44.4,1
123,Dalvin Cook,MIN,RB,9,107,11.9,35.7,24,0,2,0,5,55.6,0
123,Jamison Crowder,WAS,WR,9,79,8.8,26.3,18,1,0,0,4,44.4,0
123,Jack Doyle,IND,TE,9,80,8.9,40.0,13,0,0,0,3,33.3,1
123,Chase Edmonds,ARI,RB,9,39,4.3,9.8,8,0,0,0,1,11.1,0
123,Rhett Ellison,NYG,TE,9,89,9.9,22.2,17,1,0,0,3,33.3,0
123,Corey Grant,JAX,RB,9,67,7.4,16.8,16,0,0,0,5,55.6,0
123,Jeff Heuerman,DEN,TE,9,89,9.9,22.2,36,0,1,0,4,44.4,0
123,Duke Johnson,CLE,RB,9,84,9.3,21.0,19,0,0,0,6,66.7,1
123,Paul Richardson,WAS,WR,9,131,14.6,43.7,46T,1,2,1,5,55.6,0
123,Trent Taylor,SF,WR,9,64,7.1,16.0,10,0,0,0,1,11.1,0
123,Deonte Thompson,DAL,WR,9,83,9.2,20.8,13,0,0,0,5,55.6,0
123,Nick Vannett,SEA,TE,9,67,7.4,16.8,12,0,0,0,4,44.4,1
123,Jarius Wright,CAR,WR,9,92,10.2,30.7,22,1,1,0,8,88.9,1
139,Robby Anderson,NYJ,WR,8,108,13.5,27.0,41T,1,1,1,2,25.0,2
139,Devontae Booker,DEN,RB,8,54,6.8,13.5,9,0,0,0,2,25.0,0
139,Jake Butt,DEN,TE,8,85,10.6,28.3,22,0,2,0,4,50.0,0
139,Charles Clay,BUF,TE,8,87,10.9,21.8,21,0,1,0,5,62.5,0
139,Corey Clement,PHI,RB,8,74,9.3,24.7,19,0,0,0,3,37.5,0
139,Alex Collins,BAL,RB,8,70,8.8,17.5,24,1,2,0,3,37.5,0
139,Will Dissly,SEA,TE,8,156,19.5,39.0,66,2,3,1,5,62.5,0
139,Bruce Ellington,HOU,WR,8,92,11.5,30.7,23,1,1,0,5,62.5,0
139,Virgil Green,LAC,TE,8,91,11.4,22.8,25,0,2,0,5,62.5,0
139,Chris Hogan,NE,WR,8,109,13.6,27.2,29T,2,2,0,6,75.0,0
139,Alshon Jeffery,PHI,WR,8,105,13.1,105.0,31,1,1,0,6,75.0,1
139,Kyle Juszczyk,SF,RB,8,122,15.3,30.5,56,1,2,1,4,50.0,0
139,LeSean McCoy,BUF,RB,8,41,5.1,13.7,9,0,0,0,0,0.0,0
139,Lamar Miller,HOU,RB,8,54,6.8,13.5,16,1,0,0,2,25.0,1
139,Anthony Miller,CHI,WR,8,60,7.5,20.0,15,1,0,0,4,50.0,0
139,Zach Pascal,IND,WR,8,77,9.6,19.2,18,1,0,0,6,75.0,0
139,Cordarrelle Patterson,NE,WR,8,90,11.3,22.5,55T,1,1,1,3,37.5,0
139,Terrelle Pryor,NYJ,WR,8,158,19.8,39.5,44,0,3,1,7,87.5,0
139,Courtland Sutton,DEN,WR,8,142,17.8,35.5,42,0,4,1,5,62.5,0
158,Jordan Akins,HOU,TE,7,74,10.6,18.5,18,0,0,0,4,57.1,0
158,Kelvin Benjamin,BUF,WR,7,92,13.1,23.0,34,1,1,0,4,57.1,0
158,Antonio Gates,LAC,TE,7,88,12.6,22.0,27,1,2,0,6,85.7,0
158,C.J. Ham,MIN,FB,7,54,7.7,13.5,17,0,0,0,3,42.9,0
158,Allen Hurns,DAL,WR,7,81,11.6,20.2,20,0,1,0,4,57.1,0
158,Latavius Murray,MIN,RB,7,46,6.6,11.5,12,0,0,0,3,42.9,0
158,John Ross,CIN,WR,7,79,11.3,19.8,39T,2,1,0,4,57.1,0
158,Wendell Smallwood,PHI,RB,7,52,7.4,13.0,34,0,1,0,2,28.6,1
158,Ito Smith,ATL,RB,7,62,8.9,15.5,18,0,0,0,3,42.9,0
158,Torrey Smith,CAR,WR,7,67,9.6,22.3,26,1,1,0,5,71.4,0
158,Ian Thomas,CAR,TE,7,34,4.9,11.3,18,0,0,0,2,28.6,0
158,C.J. Uzomah,CIN,TE,7,74,10.6,18.5,29,1,1,0,4,57.1,0
158,Jordan Wilkins,IND,RB,7,25,3.6,6.2,8,0,0,0,0,0.0,0
171,Kamar Aiken,PHI,WR,6,53,8.8,17.7,18,0,0,0,2,33.3,0
171,Cameron Brate,TB,TE,6,63,10.5,15.8,21,2,1,0,5,83.3,0
171,Jaron Brown,SEA,WR,6,68,11.3,17.0,19,1,0,0,3,50.0,0
171,Jason Croom,BUF,TE,6,64,10.7,16.0,26T,1,1,0,3,50.0,0
171,Mike Davis,SEA,RB,6,29,4.8,9.7,16,0,0,0,2,33.3,0
171,Wayne Gallman,NYG,RB,6,37,6.2,9.2,11,0,0,0,2,33.3,1
171,Josh Hill,NO,TE,6,100,16.7,25.0,22,0,3,0,5,83.3,0
171,Andre Holmes,BUF,WR,6,51,8.5,12.8,22,0,1,0,2,33.3,0
171,Jermaine Kearse,NYJ,WR,6,57,9.5,19.0,14,0,0,0,4,66.7,0
171,Joe Mixon,CIN,RB,6,57,9.5,28.5,21,0,1,0,2,33.3,0
171,Seth Roberts,OAK,WR,6,66,11.0,22.0,20T,1,1,0,4,66.7,0
171,Jacquizz Rodgers,TB,RB,6,43,7.2,10.8,13,0,0,0,1,16.7,0
183,Tavon Austin,DAL,WR,5,81,16.2,20.2,64T,2,1,1,3,60.0,0
183,Doug Baldwin,SEA,WR,5,41,8.2,20.5,18,0,0,0,1,20.0,0
183,Kendrick Bourne,SF,WR,5,65,13.0,16.2,27,2,1,0,5,100.0,0
183,Chris Carson,SEA,RB,5,50,10.0,16.7,19,0,0,0,2,40.0,0
183,Isaiah Crowell,NYJ,RB,5,24,4.8,6.0,10,0,0,0,2,40.0,0
183,Josh Doctson,WAS,WR,5,48,9.6,16.0,14,0,0,0,5,100.0,0
183,Michael Gallup,DAL,WR,5,76,15.2,19.0,37,0,1,0,2,40.0,0
183,Mike Gesicki,MIA,TE,5,51,10.2,12.8,19,0,0,0,2,40.0,0
183,Marquise Goodwin,SF,WR,5,54,10.8,18.0,20,1,1,0,5,100.0,0
183,Chris Herndon,NYJ,TE,5,47,9.4,11.8,18,0,0,0,3,60.0,1
183,Phillip Lindsay,DEN,RB,5,45,9.0,11.2,29T,1,1,0,1,20.0,0
183,Josh Perkins,PHI,TE,5,67,13.4,16.8,30,0,1,0,4,80.0,0
183,Adrian Peterson,WAS,RB,5,100,20.0,33.3,52,0,2,1,2,40.0,1
183,Luke Stocker,TEN,TE,5,63,12.6,15.8,31,0,1,0,3,60.0,0
183,James Washington,PIT,WR,5,49,9.8,12.2,14T,1,0,0,3,60.0,0
183,Jamaal Williams,GB,RB,5,28,5.6,7.0,11,0,0,0,1,20.0,0
199,Jay Ajayi,PHI,RB,4,15,3.8,5.0,12,0,0,0,1,25.0,0
199,Vernon Davis,WAS,TE,4,86,21.5,28.7,50,0,2,1,4,100.0,0
199,James Develin,NE,FB,4,22,5.5,5.5,10,0,0,0,1,25.0,0
199,Darren Fells,CLE,TE,4,76,19.0,19.0,49T,1,1,1,2,50.0,0
199,Leonard Fournette,JAX,RB,4,19,4.8,9.5,11,0,0,0,2,50.0,0
199,Ryan Griffin,HOU,TE,4,75,18.8,18.8,32,0,1,0,3,75.0,0
199,Kareem Hunt,KC,RB,4,59,14.8,14.8,27,1,2,0,4,100.0,0
199,Carlos Hyde,CLE,RB,4,15,3.8,3.8,7,0,0,0,0,0.0,0
199,Chris Ivory,BUF,RB,4,100,25.0,25.0,55,0,2,1,3,75.0,0
199,Tyler Kroft,CIN,TE,4,36,9.0,9.0,16,0,0,0,4,100.0,0
199,Cameron Meredith,NO,WR,4,43,10.8,21.5,20,1,1,0,2,50.0,0
199,Chris Moore,BAL,WR,4,33,8.3,8.2,19,0,0,0,1,25.0,0
199,David Morgan,MIN,TE,4,31,7.8,10.3,13,0,0,0,2,50.0,0
199,Rashaad Penny,SEA,RB,4,35,8.8,8.8,15,0,0,0,1,25.0,0
199,Tajae Sharpe,TEN,WR,4,58,14.5,14.5,17,1,0,0,4,100.0,0
199,Darren Sproles,PHI,RB,4,22,5.5,22.0,9,0,0,0,1,25.0,0
199,Delanie Walker,TEN,TE,4,52,13.0,52.0,16,0,0,0,4,100.0,0
199,Luke Willson,DET,TE,4,29,7.3,7.2,13,0,0,0,2,50.0,0
217,Josh Bellamy,CHI,WR,3,28,9.3,7.0,20T,1,1,0,2,66.7,0
217,LeGarrette Blount,DET,RB,3,14,4.7,3.5,9,0,0,0,1,33.3,0
217,Rex Burkhead,NE,RB,3,31,10.3,10.3,19,0,0,0,1,33.3,0
217,Austin Carr,NO,WR,3,45,15.0,11.2,25,0,1,0,1,33.3,0
217,Derek Carrier,OAK,TE,3,25,8.3,6.2,12,0,0,0,0,0.0,0
217,Garrett Celek,SF,TE,3,29,9.7,7.2,11T,1,0,0,3,100.0,0
217,Gerald Everett,LA,TE,3,33,11.0,8.2,17,0,0,0,1,33.3,0
217,Devonta Freeman,ATL,RB,3,14,4.7,14.0,14,0,0,0,0,0.0,0
217,Frank Gore,MIA,RB,3,35,11.7,8.8,19,1,0,0,3,100.0,0
217,Marvin Hall,ATL,WR,3,39,13.0,9.8,30,0,1,0,1,33.3,0
217,Demetrius Harris,KC,TE,3,72,24.0,24.0,35,1,2,0,3,100.0,0
217,Derrick Henry,TEN,RB,3,12,4.0,3.0,13,0,0,0,1,33.3,0
217,Tyler Higbee,LA,TE,3,38,12.7,9.5,20,1,1,0,3,100.0,0
217,Jacob Hollister,NE,TE,3,35,11.7,35.0,23,0,1,0,1,33.3,0
217,Lance Kendricks,GB,TE,3,22,7.3,5.5,13,0,0,0,2,66.7,0
217,Cody Latimer,NYG,WR,3,56,18.7,18.7,37,0,1,0,2,66.7,0
217,Jordan Leggett,NYJ,TE,3,13,4.3,4.3,9,1,0,0,1,33.3,0
217,Zach Line,NO,RB,3,10,3.3,2.5,5,1,0,0,1,33.3,0
217,Doug Martin,OAK,RB,3,-3,-1.0,-0.8,0,0,0,0,0,0.0,0
217,Jordan Matthews,PHI,WR,3,77,25.7,38.5,56T,1,1,1,1,33.3,0
