Player,Team,Pos,Comp,Att,Yds,TDs,INTs,FFP
Drew Brees,NO,QB,28.0,35.0,243.0,2.0,0.0,17.72
Philip Rivers,LAC,QB,23.0,27.0,256.0,3.0,0.0,22.240000000000002
Ryan Fitzpatrick,TB,QB,27.0,33.0,402.0,4.0,1.0,31.08
Ben Roethlisberger,PIT,QB,39.0,60.0,452.0,3.0,0.0,30.080000000000002
Case Keenum,DEN,QB,19.0,35.0,222.0,0.0,1.0,7.880000000000001
Andrew Luck,IND,QB,21.0,31.0,179.0,2.0,2.0,13.16
Derek Carr,OAK,QB,29.0,32.0,288.0,1.0,0.0,15.52
Russell Wilson,SEA,QB,22.0,36.0,226.0,2.0,1.0,16.04
Aaron Rodgers,GB,QB,30.0,42.0,281.0,1.0,0.0,15.24
Matthew Stafford,DET,QB,34.0,53.0,347.0,3.0,0.0,25.880000000000003
Tom Brady,NE,QB,24.0,35.0,234.0,2.0,0.0,17.36
Jimmy Garoppolo,SF,QB,18.0,26.0,206.0,2.0,0.0,16.240000000000002
Patrick Mahomes,KC,QB,23.0,28.0,326.0,6.0,0.0,37.04
Alex Smith,WAS,QB,33.0,46.0,292.0,0.0,0.0,11.68
Matt Ryan,ATL,QB,23.0,28.0,272.0,2.0,1.0,17.880000000000003
Kirk Cousins,MIN,QB,35.0,48.0,425.0,4.0,1.0,32.0
Andy Dalton,CIN,QB,24.0,42.0,265.0,4.0,0.0,26.6
Joe Flacco,BAL,QB,32.0,55.0,376.0,2.0,2.0,21.04
Jared Goff,LA,QB,24.0,32.0,354.0,1.0,1.0,17.16
Ryan Tannehill,MIA,QB,17.0,23.0,168.0,2.0,0.0,14.719999999999999
Eli Manning,NYG,QB,33.0,44.0,279.0,1.0,0.0,15.16
Sam Darnold,NYJ,QB,40.0,72.0,503.0,1.0,4.0,20.12
Tyrod Taylor,CLE,QB,26.0,44.0,265.0,1.0,1.0,13.6
Blake Bortles,JAX,QB,29.0,45.0,376.0,4.0,1.0,30.04
Deshaun Watson,HOU,QB,22.0,32.0,310.0,2.0,1.0,19.4
Mitchell Trubisky,CHI,QB,25.0,34.0,200.0,2.0,2.0,14.0
Dak Prescott,DAL,QB,16.0,25.0,160.0,1.0,0.0,10.4
Cam Newton,CAR,QB,32.0,45.0,335.0,3.0,1.0,24.4
Sam Bradford,ARI,QB,17.0,27.0,90.0,0.0,1.0,2.6
Nick Foles,PHI,QB,35.0,48.0,334.0,1.0,0.0,17.36
Blaine Gabbert,TEN,QB,13.0,20.0,117.0,1.0,0.0,8.68
Marcus Mariota,TEN,QB,0.0,0.0,0.0,0.0,0.0,0.0
Josh Allen,BUF,QB,18.0,33.0,245.0,1.0,2.0,11.8
DeShone Kizer,GB,QB,0.0,0.0,0.0,0.0,0.0,0.0
Lamar Jackson,BAL,QB,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Peterman,BUF,QB,0.0,0.0,0.0,0.0,0.0,0.0
Nelson Agholor,PHI,WR,0.0,0.0,0.0,0.0,0.0,0.0
Matt Cassel,DET,QB,0.0,0.0,0.0,0.0,0.0,0.0
Baker Mayfield,,,17.0,23.0,201.0,0.0,0.0,8.040000000000001
Kevin Byard,,,1.0,1.0,66.0,1.0,0.0,6.640000000000001
Derrick Henry,,,1.0,1.0,8.0,0.0,0.0,0.32
